地区ID,地区_中文,地区_英文,人口_manpower,地区类型,地区建筑槽,本地补给,不可通行,拥有者TAG,拥有者_中文,拥有者_英文,控制者TAG,省份数,省份ID列表,胜利点城市数,胜利点合计,胜利点列表,资源,地区建筑,省份建筑,核心TAG,宣称TAG,其他历史字段,日期历史,来源州文件
436,中央省,Central Provinces,17990937,rural,2,0.0,no,RAJ,印度,India,,19,1510 4883 4950 4953 7430 7497 7574 7619 8120 10030 10401 10801 10872 12375 12480 12781 12799 12854 10171,1,5,4950:那格浦尔(5),"{""chromium"": 4, ""coal"": 7}","{""infrastructure"": 1}",,,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\436-Central Provinces.txt
437,中印度,Central India,9628198,rural,2,0.0,no,RAJ,印度,India,,10,2092 2105 4106 7080 7205 8076 10816 11993 11995 12080,1,5,4106:印多尔(5),,"{""infrastructure"": 1}",,CIP,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\437-Central Indian Provinces.txt
438,联合省,United Provinces,45365364,town,4,0.0,no,RAJ,印度,India,,24,1377 1898 1983 2005 4045 4299 4410 5002 5040 5055 5086 5096 5157 7064 7938 8082 8114 9951 9973 10021 10332 12137 12777 12786,1,10,1377:勒克瑙(10),,"{""industrial_complex"": 1, ""infrastructure"": 1}",,,KHL,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\438-United Provinces.txt
439,德里,Delhi,636246,large_city,8,1.0,no,RAJ,印度,India,,4,2032 2086 10794 11955,1,30,2086:德里(30),,"{""air_base"": 4, ""industrial_complex"": 1, ""infrastructure"": 3}",,RAJ,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\439-Delhi.txt
440,西旁遮普,West Punjab,16024000,town,4,0.5,no,RAJ,印度,India,,13,4979 8007 8022 8106 9084 10066 10139 10173 10772 10887 10898 12005 12822,3,19,10772:拉合尔(15); 10898:哈拉帕(1); 10173:拉瓦尔品第(3),,"{""industrial_complex"": 1, ""infrastructure"": 1}",,PAK;KHL,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\440-West Punjab.txt
441,克什米尔,Kashmir,2598027,rural,2,0.0,no,RAJ,印度,India,,7,5042 7273 7316 8005 10905 12754 12884,1,1,12754:查谟(1),,"{""infrastructure"": 1}",,KAS;KHL,RAJ;PAK,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\441-Kashmir.txt
442,白沙瓦,Peshawar,4684400,wasteland,0,5.0,no,RAJ,印度,India,,3,4558 12717 12763,1,3,12763:白沙瓦(3),"{""steel"": 3}","{""air_base"": 1, ""infrastructure"": 1}",,NWF;PAK;KHL,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\442-Peshawar.txt
443,信德,Sind,4524236,city,6,7.0,no,RAJ,印度,India,,10,1147 1971 1980 3456 4003 4110 4382 7084 10108 10735,1,25,3456:卡拉奇(25),,"{""industrial_complex"": 1, ""infrastructure"": 2}","{""3456"": {""naval_base"": 4}}",RAJ;SIN;PAK,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\443-Sind.txt
444,南俾路支斯坦,South Baluchistan,364000,rural,2,0.0,no,RAJ,印度,India,,5,1179 5043 7917 12761 12774,0,0,,"{""oil"": 3}","{""industrial_complex"": 1, ""infrastructure"": 1}",,PAK;BLC,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\444-Baluchistan States.txt
445,锡比,Sibi,405100,rural,2,0.0,no,RAJ,印度,India,,4,4990 7847 7903 10813,0,0,,,"{""infrastructure"": 1}",,PAK;KHL,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\445-Quetta.txt
446,苏伊士,Suez,131732,wasteland,0,0.0,no,ENG,大不列颠,Great Britain,,4,1155 4073 9947 12049,2,8,12049:塞得港(5); 4073:苏伊士(3),,"{""infrastructure"": 3}","{""12049"": {""naval_base"": 2}, ""4073"": {""naval_base"": 1}}",EGY,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\446-Cairo.txt
447,亚历山大,Alexandria,3859239,town,4,0.0,no,ENG,大不列颠,Great Britain,,7,1071 4076 4145 7091 7164 10073 11964,2,11,4076:亚历山大港(10); 1071:阿拉曼(1),"{""oil"": 1, ""steel"": 3, ""tungsten"": 3}","{""air_base"": 6, ""industrial_complex"": 1, ""infrastructure"": 3}","{""4076"": {""naval_base"": 8, ""naval_supply_hub"": 1}}",EGY,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\447-Alexandria.txt
448,的黎波里,Tripoli,469136,town,4,0.0,no,ITA,意大利王国,Kingdom of Italy,,8,1118 1149 1189 4194 7066 7209 9980 12039,1,10,1149:的黎波里(10),,"{""air_base"": 6, ""infrastructure"": 2}","{""1149"": {""naval_base"": 5}}",LBA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\448-Tripoli.txt
449,阿盖拉,El Agheila,40431,wasteland,0,0.0,no,ITA,意大利王国,Kingdom of Italy,,7,1041 1198 4047 4057 10046 10117 12088,0,0,,,"{""infrastructure"": 2}",,LBA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\449-Libyan Coast.txt
450,班加西,Benghasi,82535,wasteland,0,0.0,no,ITA,意大利王国,Kingdom of Italy,,4,1127 4120 10123 11954,1,3,11954:班加西(3),,"{""air_base"": 1, ""infrastructure"": 2}","{""11954"": {""naval_base"": 1}}",LBA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\450-Benghasi.txt
451,德尔纳,Derna,45628,wasteland,0,4.0,no,ITA,意大利王国,Kingdom of Italy,,8,1130 1204 4136 4151 7082 9992 10120 12094,1,5,1130:托布鲁克(5),,"{""air_base"": 4, ""infrastructure"": 1}","{""1130"": {""naval_base"": 6}}",LBA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\451-Derna.txt
452,马特鲁,Matrouh,52556,wasteland,0,9.0,no,ENG,大不列颠,Great Britain,,9,7079 9989 10061 11910 11967 5078 12033 12091 7148,2,3,10061:马特鲁港(2); 9989:西迪巴拉尼(1),,"{""infrastructure"": 2}",,EGY,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\452-Marsa Matruh.txt
453,西奈,Sinai,15359,wasteland,0,7.0,no,ENG,大不列颠,Great Britain,,7,1112 4161 10002 10099 11922 11979 12073,2,4,4161:阿里什(3); 10099:沙姆沙伊赫(1),,"{""infrastructure"": 1}",,EGY,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\453-Sinai.txt
454,巴勒斯坦,Palestine,933142,rural,2,0.0,no,PAL,巴勒斯坦自由托管领,Free Mandate of Palestine,,10,1015 1065 1086 1201 4088 4206 7107 7176 11970 1,3,5,1086:耶路撒冷(3); 4206:特拉维夫(1); 1065:拿撒勒(1),,"{""air_base"": 2, ""industrial_complex"": 1, ""infrastructure"": 3}","{""4206"": {""naval_base"": 3}}",PAL;ISR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\454-Israel.txt
455,约旦,Jordan,932000,rural,2,0.0,no,JOR,约旦王国,Kingdom of Jordan,,13,1544 4017 4115 4440 4562 4574 4591 4603 7001 7151 7170 10089 11976,2,3,7151:安曼(2); 11976:马安(1),,"{""industrial_complex"": 1, ""infrastructure"": 2}","{""4115"": {""naval_base"": 1}}",JOR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\455-Jordan.txt
456,阿斯旺,Aswan,4224516,rural,2,0.0,no,ENG,大不列颠,Great Britain,,15,1028 1064 1151 1206 7030 7073 7144 10028 10097 10844 11974 11999 12044 12071 12771,3,5,12071:卢克索(3); 11974:艾斯尤特(1); 11999:阿斯旺(1),,"{""infrastructure"": 2}","{""11999"": {""dam"": 1}}",EGY,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\456-Luxor.txt
457,东部沙漠,Eastern Desert,2194,wasteland,0,0.0,no,ENG,大不列颠,Great Britain,,9,1080 4068 4910 5069 7156 9957 10126 12002 12889,1,1,12002:赫嘎达(1),,"{""infrastructure"": 1}",,EGY,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\457-Aswan.txt
458,突尼斯,Tunisia,1982940,town,4,0.0,no,FRA,波旁法国,Bourbon France,,12,1037 1046 4061 4129 4163 7077 7162 7180 9994 10091 11921 11969,3,12,11969:突尼斯(10); 9994:比塞大(1); 11921:斯法克斯(1),"{""steel"": 31}","{""air_base"": 8, ""industrial_complex"": 1, ""infrastructure"": 2}","{""9994"": {""naval_base"": 8}}",TUN,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\458-Tunisia.txt
459,阿尔及尔,Algiers,3089944,town,4,0.0,no,FRA,波旁法国,Bourbon France,,10,1013 1145 4116 4131 4146 7132 9964 11923 11939 12760,2,10,1145:阿尔及尔(5); 7132:奥兰(5),"{""coal"": 2, ""steel"": 65}","{""air_base"": 5, ""infrastructure"": 2}","{""1145"": {""naval_base"": 2}, ""7132"": {""naval_base"": 6}}",ALG,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\459-Western Algeria.txt
460,康斯坦丁,Constantine,2343837,town,4,0.0,no,FRA,波旁法国,Bourbon France,,11,1058 1160 4046 7065 7081 7166 9976 10078 11953 12051 13077,2,4,7081:安纳巴(1); 12051:康斯坦丁(3),,"{""infrastructure"": 2}","{""7081"": {""naval_base"": 1}}",ALG,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\460-Eastern Algeria.txt
461,卡萨布兰卡,Casablanca,3197719,rural,2,0.0,no,FRA,波旁法国,Bourbon France,,17,989 1079 1111 1194 4084 4097 4139 7069 7100 7116 7173 10013 10023 10070 11943 11987 12042,2,12,7069:卡萨布兰卡(10); 10070:拉巴特(2),"{""chromium"": 12.0, ""coal"": 3}","{""air_base"": 4, ""industrial_complex"": 1, ""infrastructure"": 2}","{""7069"": {""naval_base"": 4}}",MOR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\461-Northern Morocco.txt
462,马拉喀什,Marrakech,1865552,wasteland,0,0.0,no,FRA,波旁法国,Bourbon France,,14,1102 1152 1207 1989 4022 4108 4154 4933 5046 7203 7908 7958 8046 10107,1,3,4108:马拉喀什(3),,"{""infrastructure"": 1}",,MOR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\462-Southern Morocco.txt
463,阿拉斯加,Alaska,67500,rural,2,0.0,no,USA,美利坚,America,,15,1135 1830 4833 4848 7855 7884 10679 10694 10707 12661 13069 13090 13091 13202 13203,2,4,13090:乌纳拉斯卡(1); 13091:安克雷奇(3),,"{""air_base"": 1, ""infrastructure"": 1}","{""13091"": {""naval_base"": 1}}",,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\463-Alaska.txt
464,新斯科舍,Nova Scotia,490912,rural,2,11.0,no,CAN,加拿大自由共和国,Free Canadian Republic,,8,1354 4360 4430 4623 7304 7361 7644 10244,1,3,7361:哈利法克斯(3),"{""coal"": 7}","{""air_base"": 3, ""industrial_complex"": 1, ""infrastructure"": 3}","{""7361"": {""naval_base"": 4}}",CAN,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\464-Nova Scotia.txt
465,新不伦瑞克,New Brunswick,475020,rural,2,0.0,no,CAN,加拿大自由共和国,Free Canadian Republic,,8,634 1424 4285 4342 4362 4432 7379 12289,2,3,1424:蒙克顿(2); 4285:圣约翰(1),,"{""industrial_complex"": 2, ""infrastructure"": 3}","{""4285"": {""naval_base"": 2}}",CAN,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\465-New Brunswick.txt
466,北魁北克,Nord du Quebec,8860,pastoral,1,0.0,no,CAN,加拿大自由共和国,Free Canadian Republic,,16,490 1712 3208 3691 6740 7364 7813 10176 12147 13162 13166 13181 13184 13186 13196 13314,0,0,,"{""aluminium"": 4.0}","{""infrastructure"": 1}","{""3691"": {""naval_base"": 1}}",CAN;QUE,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\466-Quebec.txt
467,曼尼托巴,Manitoba,641071,rural,2,9.0,no,CAN,加拿大自由共和国,Free Canadian Republic,,12,1848 1873 3721 4218 4426 4790 4872 5119 12145 12636 12688 13163,1,5,4872:温尼伯(5),,"{""industrial_complex"": 1, ""infrastructure"": 2}",,CAN,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\467-Manitoba.txt
468,圣劳伦斯,Saint Lawrence,2432754,city,6,0.0,no,CAN,加拿大自由共和国,Free Canadian Republic,,15,1284 4305 4345 4417 4422 7289 7291 7345 7433 9601 10174 10230 10320 12149 12291,3,24,4345:蒙特利尔(20); 12149:魁北克(3); 10230:舍布鲁克(1),"{""aluminium"": 3}","{""air_base"": 3, ""arms_factory"": 2, ""industrial_complex"": 1, ""infrastructure"": 3}","{""12149"": {""naval_base"": 6}}",CAN;QUE,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\468-Nunavut.txt
469,萨斯喀彻温,Saskatchewan,800000,rural,2,0.0,no,CAN,加拿大自由共和国,Free Canadian Republic,,14,736 1788 3481 3498 3769 4739 9669 10552 10611 10656 11440 12593 12603 12663,1,2,4739:萨斯卡通(2),,"{""industrial_complex"": 1, ""infrastructure"": 2}",,CAN,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\469-Saskatchewan.txt
470,阿尔伯塔,Alberta,690800,rural,2,0.0,no,CAN,加拿大自由共和国,Free Canadian Republic,,17,515 1262 1347 1763 1804 3010 3706 4765 6726 6754 7348 7718 7766 7787 10684 12166 12534,1,3,3010:埃德蒙顿(3),"{""coal"": 5}","{""industrial_complex"": 1, ""infrastructure"": 3}",,CAN,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\470-Alberta.txt
471,鲁珀特王子港,Prince Rupert,27681,wasteland,0,3.0,no,CAN,加拿大自由共和国,Free Canadian Republic,,9,917 1411 1799 1872 4678 5403 10548 12508 12571,0,0,,,"{""infrastructure"": 1}","{""10548"": {""naval_base"": 1}}",CAN,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\471-Northwestern Canada.txt
472,西北地区,N.W Territories,27681,wasteland,0,0.0,no,CAN,加拿大自由共和国,Free Canadian Republic,,14,2407 2976 4272 7696 7830 7858 7901 8653 10527 10703 13075 13167 13189 13192,0,0,,,"{""infrastructure"": 1}",,CAN,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\472-Northwest Territories.txt
473,不列颠哥伦比亚,British Columbia,638165,town,4,4.0,no,CAN,加拿大自由共和国,Free Canadian Republic,,22,1323 1393 1408 1737 1858 4343 4385 4413 4428 4870 4877 7677 7753 7761 7820 7853 10228 10258 10273 10644 12231 12578,1,15,1408:温哥华(15),"{""coal"": 4, ""oil"": 1}","{""air_base"": 3, ""arms_factory"": 1, ""dockyard"": 1, ""industrial_complex"": 1, ""infrastructure"": 3}","{""1408"": {""naval_base"": 5}}",CAN,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\473-British Columbia.txt
474,尤卡坦,Yucatan,440289,rural,2,0.0,no,MEX,墨西哥,Mexico,,3,4904 4965 12715,2,4,4904:坎佩切(1); 4965:坎昆(3),,"{""air_base"": 1, ""infrastructure"": 2}","{""4904"": {""naval_base"": 2}, ""4965"": {""naval_base"": 3}}",MEX;YUC,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\474-Yucatan.txt
475,恰帕斯,Chiapas,805874,rural,2,0.0,no,MEX,墨西哥,Mexico,,3,1900 12753 12867,1,3,1900:图斯特拉古铁雷斯(3),,"{""infrastructure"": 2}",,MEX,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\475-Chiapas.txt
476,瓦哈卡,Oaxaca,1663331,rural,2,8.0,no,MEX,墨西哥,Mexico,,5,2021 8236 10773 10889 12712,2,4,10889:夸察夸尔科斯(1); 2021:比亚埃尔莫萨(3),"{""oil"": 8}","{""air_base"": 2, ""infrastructure"": 2}","{""10889"": {""naval_base"": 2}}",MEX,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\476-Oaxaca.txt
477,韦拉克鲁斯,Veracruz,1951460,town,4,0.0,no,MEX,墨西哥,Mexico,,4,8079 8089 10732 12810,2,15,12810:韦拉克鲁斯(5); 8089:普埃布拉(10),"{""oil"": 9}","{""dockyard"": 1, ""infrastructure"": 2}","{""12810"": {""naval_base"": 3}}",MEX,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\477-Veracruz.txt
478,哈利斯科,Jalisco,2470875,town,4,0.0,no,MEX,墨西哥,Mexico,,6,2051 5052 10172 12746 12873 13089,3,16,13089:瓜达拉哈拉(10); 10172:阿瓜斯卡连特斯(5); 12746:巴亚尔塔港(1),"{""tungsten"": 8}","{""industrial_complex"": 1, ""infrastructure"": 2}",,MEX,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\478-Nayarit.txt
479,塔毛利帕斯,Tamaulipas,1032988,town,4,0.0,no,MEX,墨西哥,Mexico,,7,1952 2083 4956 5015 5021 12721 13088,2,15,4956:圣路易斯波托西(10); 5015:马塔莫罗斯(5),"{""oil"": 9}","{""industrial_complex"": 1, ""infrastructure"": 2}",,MEX;RIG,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\479-Tamaulipas.txt
480,科阿韦拉,Coahuila,827826,large_town,5,0.0,no,MEX,墨西哥,Mexico,,9,2060 2104 7973 10738 10746 10769 10800 12811 12835,3,16,12835:蒙特雷(10); 10769:雷诺萨(5); 12811:彼德拉斯内格拉斯(1),"{""coal"": 3, ""oil"": 8}","{""arms_factory"": 1, ""industrial_complex"": 1, ""infrastructure"": 2}",,MEX;RIG,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\480-Coahuila.txt
481,杜兰戈,Durango,1255094,rural,2,6.0,no,MEX,墨西哥,Mexico,,9,1945 4946 7921 8003 8057 10853 10871 10895 12804,1,10,7921:杜兰戈(10),"{""coal"": 1}","{""dockyard"": 1, ""infrastructure"": 2}","{""8057"": {""naval_base"": 3}}",MEX,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\481-Sinaloa.txt
482,奇瓦瓦,Chihuahua,520751,rural,2,0.0,no,MEX,墨西哥,Mexico,,11,2037 4898 7935 8097 10809 10830 10916 12745 12827 12850 12897,2,20,8097:华雷斯(10); 10830:奇瓦瓦(10),,"{""infrastructure"": 2}",,MEX,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\482-Chihuahua.txt
483,索诺拉,Sonora,303987,rural,2,0.0,no,MEX,墨西哥,Mexico,,10,2069 4908 4977 5071 8012 8033 10765 10848 12833 13214,1,5,10765:埃莫西约(5),,"{""infrastructure"": 2}","{""4908"": {""naval_base"": 3}}",MEX,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\483-Sonora.txt
484,下加利福尼亚,Baja California,108841,rural,2,0.0,no,MEX,墨西哥,Mexico,,9,1892 1904 7964 8119 12461 12736 12859 13215 13216,1,10,12461:蒂华纳(10),,"{""air_base"": 3, ""infrastructure"": 2}","{""12736"": {""naval_base"": 1}, ""1892"": {""naval_base"": 2}}",MEX,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\484-Baja California.txt
485,格雷罗,Guerrero,1598311,rural,2,0.0,no,MEX,墨西哥,Mexico,,5,4887 5066 8032 10730 10832,3,9,10730:阿卡普尔科(5); 4887:莫雷利亚(3); 8032:曼萨尼约(1),"{""steel"": 4}","{""industrial_complex"": 1, ""infrastructure"": 2}","{""8032"": {""naval_base"": 3}}",MEX,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\485-Guerrero.txt
486,梅塔,Meta,213160,pastoral,1,0.0,no,COL,新宪法哥伦比亚,Nueva Constitución,,7,1887 2007 5026 10792 12729 12770 12825,0,0,,,"{""infrastructure"": 1}",,COL,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\486-Meta.txt
487,圣克鲁兹,Santa Cruz,334500,pastoral,1,0.0,no,BOL,玻利维亚,Bolivia,,11,2160 5188 8211 8240 10924 10982 10996 12902 12916 12917 12973,1,5,2160:圣克鲁斯-德拉谢拉(5),,"{""industrial_complex"": 1, ""infrastructure"": 1}",,BOL,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\487-Amazinas.txt
488,玻利瓦尔,Bolivar,245642,pastoral,1,0.0,no,VEN,玻利瓦尔主义委内瑞拉,Bolivarian Venezuela,,8,1981 5317 7915 8050 10736 10849 10879 13362,1,1,10879:圣费利克斯(1),,"{""infrastructure"": 1}",,VEN,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\488-Bolivar.txt
489,苏利亚,Zulia,1576373,town,4,6.0,no,VEN,玻利瓦尔主义委内瑞拉,Bolivarian Venezuela,,7,1944 1997 2052 4526 5088 10855 12772,1,1,1944:马拉开波(1),"{""coal"": 1, ""oil"": 35}","{""industrial_complex"": 2, ""infrastructure"": 2}","{""1944"": {""naval_base"": 5}}",VEN,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\489-Monagas.txt
490,帕斯塔萨,Pastaza,70020,pastoral,1,6.0,no,ECU,加拉帕戈斯政权,Galapagos Regime,,4,8149 10942 13289 13290,1,2,13289:伊基托斯(2),,"{""air_base"": 1, ""industrial_complex"": 1, ""infrastructure"": 2}",,PRU;ECU,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\490-Pastaza.txt
491,洛雷托,Loreto,176626,pastoral,1,0.0,no,PRU,秘鲁独立国,Peruvian Independent State,,5,5162 8213 10970 12869 13291,1,1,10970:尤里马瓜斯(1),,"{""infrastructure"": 2}",,PRU,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\491-Loreto.txt
492,阿雷基帕,Arequipa,1601278,rural,2,0.0,no,PRU,秘鲁独立国,Peruvian Independent State,,8,2182 2210 2225 5202 12953 13175 13286 13288,3,7,2210:阿雷基帕(5); 13288:莫延多(1); 13286:普诺(1),"{""tungsten"": 6}","{""air_base"": 1, ""industrial_complex"": 1, ""infrastructure"": 2}","{""13288"": {""naval_base"": 1}}",PRU,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\492-Piura.txt
493,拉利伯塔德,La Libertad,2826781,town,4,0.0,no,COL,新宪法哥伦比亚,Nueva Constitución,,11,1937 2023 2085 4969 8056 10494 10864 12703 12790 12845 12872,2,6,2023:麦德林(1); 12790:卡塔赫纳(5),"{""coal"": 6, ""oil"": 15}","{""air_base"": 4, ""industrial_complex"": 2, ""infrastructure"": 2}","{""12790"": {""naval_base"": 5}, ""8056"": {""naval_base"": 1}}",COL,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\493-La Libertad.txt
494,乌卡亚利,Ucayali,735826,rural,2,0.0,no,PRU,秘鲁独立国,Peruvian Independent State,,7,2212 2226 5166 8160 8191 10940 13316,3,6,8191:马尔多纳多港(1); 5166:库斯科(3); 2226:普卡尔帕(2),,"{""infrastructure"": 2}",,PRU,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\494-Ucayali.txt
495,亚马逊,Amazonas,159900,pastoral,1,0.0,no,BRA,巴西,Brazil,,44,1979 5083 10934 13083 13317 13318 13319 13320 13321 13322 13323 13324 13325 13326 13327 13328 13329 13331 13332 13333 13334 13335 13336 13337 13339 13341 13342 13343 13344 13345 13346 13347 13348 13349 13350 13351 13352 13353 13355 13356 13357 13358 13359 13360,1,1,10934:马瑙斯(1),,"{""infrastructure"": 0}",,BRA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\495-Amazonas.txt
496,米纳斯吉拉斯,Minas Gerais,4603600,rural,2,0.0,no,BRA,巴西,Brazil,,23,4570 5223 7589 8233 10931 12903 12909 12938 10945 12977 2167 7476 8148 12923 2190 2218 12438 10360 8210 12479 2185 8226 12334,1,3,7476:贝洛奥里藏特(3),"{""steel"": 3}","{""industrial_complex"": 1, ""infrastructure"": 1}",,BRA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\496-Para.txt
497,马拉尼昂,Maranhão,575050,pastoral,1,0.0,no,BRA,巴西,Brazil,,5,2150 5220 12913 12933 12947,1,2,12933:圣路易斯(2),"{""rubber"": 13}","{""air_base"": 1, ""infrastructure"": 1}",,BRA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\497-Maranhao.txt
498,北里奥格兰德,Rio Grande do Norte,649000,town,4,0.0,no,BRA,巴西,Brazil,,3,2175 10933 13273,1,3,10933:纳塔尔(3),"{""tungsten"": 3}","{""industrial_complex"": 1, ""infrastructure"": 3}",,BRA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\498-Rio Grande.txt
499,巴伊亚,Bahia,4233900,large_town,5,0.0,no,BRA,巴西,Brazil,,16,4617 5194 8143 8177 8184 8197 8242 10392 10926 10946 5174 8129 5218 12422 10419 11002,1,1,10946:萨尔瓦多(1),"{""chromium"": 3}","{""air_base"": 1, ""industrial_complex"": 2, ""infrastructure"": 2}","{""10946"": {""naval_base"": 1}}",BRA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\499-Bahia.txt
500,里约热内卢,Rio de Janeiro,6665500,large_city,8,0.0,no,BRA,巴西,Brazil,,4,5172 8190 10980 12996,1,10,10980:里约热内卢(10),,"{""air_base"": 7, ""arms_factory"": 2, ""dockyard"": 2, ""industrial_complex"": 4, ""infrastructure"": 3}","{""10980"": {""landmark_cristo_redentor"": {""allowed"": {""has_dlc"": ""Gotterdammerung""}, ""level"": 1}, ""naval_base"": 7}}",BRA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\500-Rio de Janerio.txt
501,圣保罗,São Paulo,6199200,city,6,0.0,no,BRA,巴西,Brazil,,14,1583 5186 7636 10513 10947 10994 11003 11008 12937 12972 10432 5112 5167 7553,2,21,10513:圣保罗(20); 5112:桑托斯(1),,"{""arms_factory"": 1, ""industrial_complex"": 3, ""infrastructure"": 3}","{""5112"": {""naval_base"": 4}}",BRA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\501-Saol Paulo.txt
502,南里奥格兰德,Rio Grande do Sul,2959600,town,4,0.0,no,BRA,巴西,Brazil,,13,1542 1585 1598 4436 4575 4589 4604 5110 7581 7594 7638 10447 12396,1,3,10447:阿雷格里港(3),"{""coal"": 8}","{""air_base"": 2, ""industrial_complex"": 1, ""infrastructure"": 3}","{""10447"": {""naval_base"": 3}}",BRA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\502-Rio Grande Sul.txt
503,圣卡塔琳娜,Santa Catarina,961350,rural,2,0.0,no,BRA,巴西,Brazil,,4,1529 4548 10405 12466,2,3,4548:弗洛里亚诺波利斯(2); 10405:茹安维尔(1),"{""coal"": 1}","{""infrastructure"": 2}",,BRA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\503-Santa Catarina.txt
504,蓬塔波朗,Punta Porá,229900,rural,2,0.0,no,BRA,巴西,Brazil,,3,5200 8224 12951,1,2,12951:大坎普(2),,"{""infrastructure"": 1}",,BRA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\504-Iguacu.txt
505,戈亚斯,Goiás,1662200,rural,2,0.0,no,BRA,巴西,Brazil,,6,5115 5148 5208 8140 12959 12987,1,3,12987:戈亚尼亚(3),"{""aluminium"": 3, ""chromium"": 3}","{""infrastructure"": 1}",,BRA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\505-Goias.txt
506,安托法加斯塔,Antofagasta,423605,town,4,0.0,no,CHL,智利共和国,Chilean Republic,,6,5146 5171 12994 13301 13302 13304,1,10,12994:12994(10),"{""coal"": 1, ""tungsten"": 42}","{""air_base"": 1, ""dockyard"": 1, ""industrial_complex"": 2, ""infrastructure"": 3}","{""12994"": {""naval_base"": 1}}",CHL,BOL,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\506-Northern Chile.txt
